City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vodnyy,63.5046,53.4095,37.63,85,90,6.31,RU,1729130090
1,margaret river,-33.95,115.0667,60.78,57,8,9.95,AU,1729130091
2,iqaluit,63.7506,-68.5145,33.53,86,100,16.11,CA,1729130092
3,walvis bay,-22.9575,14.5053,50.95,93,0,6.91,NA,1729130093
4,tuy hoa,13.0833,109.3,83.5,74,96,3.0,VN,1729130094
5,udachny,66.4167,112.4,9.05,92,97,11.1,RU,1729130096
6,bredasdorp,-34.5322,20.0403,56.25,85,10,7.72,ZA,1729130098
7,qaqortoq,60.7167,-46.0333,31.28,54,100,8.68,GL,1729130099
8,saldanha,-33.0117,17.9442,57.25,96,6,7.99,ZA,1729130100
9,el bauga,18.262,33.9081,85.01,23,0,5.82,SD,1729130101
10,port-aux-francais,-49.35,70.2167,35.65,92,97,22.24,TF,1729130102
11,ilulissat,69.2167,-51.1,17.62,62,3,3.44,GL,1729130103
12,bethel,41.3712,-73.414,45.93,70,0,1.99,US,1729130104
13,urucurituba,-2.6833,-57.6667,80.4,65,48,2.91,BR,1729130105
14,grytviken,-54.2811,-36.5092,33.01,84,22,12.71,GS,1729130106
15,adamstown,-25.066,-130.1015,70.2,85,100,18.37,PN,1729130107
16,port elizabeth,-33.918,25.5701,69.31,62,0,4.61,ZA,1729130108
17,hermanus,-34.4187,19.2345,58.8,89,54,10.65,ZA,1729130110
18,dudinka,69.4058,86.1778,14.27,83,100,21.61,RU,1729130111
19,jamestown,42.097,-79.2353,38.84,89,40,5.75,US,1729130112
20,yellowknife,62.456,-114.3525,40.41,100,100,6.91,CA,1729130113
21,rimavska sobota,48.3828,20.0224,37.98,82,7,4.23,SK,1729130114
22,coquimbo,-29.9533,-71.3436,55.13,84,0,3.44,CL,1729130115
23,middelburg,-25.7751,29.4648,52.41,77,0,4.81,ZA,1729130116
24,cumana,10.4635,-64.1775,80.78,81,100,8.57,VE,1729130117
25,sao paulo de olivenca,-3.3783,-68.8725,80.38,65,94,1.3,BR,1729130118
26,ancud,-41.8697,-73.8203,50.68,95,100,12.06,CL,1729130119
27,acarau,-2.8856,-40.12,78.31,79,13,10.4,BR,1729130120
28,remire-montjoly,4.9167,-52.2667,77.04,94,0,2.3,GF,1729130122
29,labytnangi,66.6572,66.4183,26.11,93,61,8.1,RU,1729130123
30,sitka,57.0531,-135.33,48.09,81,100,5.75,US,1729130124
31,punta gorda,26.9298,-82.0454,68.05,73,100,12.66,US,1729130065
32,avarua,-21.2078,-159.775,77.05,61,75,9.22,CK,1729130126
33,huarmey,-10.0681,-78.1522,64.81,83,90,9.06,PE,1729130127
34,raduzhny,62.0961,77.475,31.32,91,100,13.0,RU,1729130128
35,mejit,10.2753,170.8646,83.19,76,100,12.53,MH,1729130129
36,ushuaia,-54.8,-68.3,51.46,54,20,11.5,AR,1729130130
37,albany,42.6001,-73.9662,41.45,67,5,4.85,US,1729130131
38,codrington,-38.2667,141.9667,76.82,59,100,15.46,AU,1729130132
39,alofi,-19.0595,-169.9187,82.29,61,75,11.5,NU,1729130133
40,ha giang,22.8333,104.9833,78.31,89,73,2.48,VN,1729130134
41,kavaratti,10.5669,72.642,80.1,85,100,10.83,IN,1729130136
42,baukau,51.5526,7.2042,64.65,74,100,12.3,DE,1729130137
43,georgetown,5.4112,100.3354,85.95,87,20,2.3,MY,1729130098
44,olonkinbyen,70.9221,-8.7187,34.43,99,100,9.6,SJ,1729130139
45,ljusdal,61.8288,16.0913,42.22,86,100,9.93,SE,1729130140
46,malango,-2.9627,119.9001,80.31,62,100,3.78,ID,1729130141
47,nikolayevsk-on-amure,53.1406,140.73,38.64,47,24,10.56,RU,1729130142
48,fisterra,42.9049,-9.2629,60.84,80,19,11.74,ES,1729130143
49,blackmans bay,-43.0167,147.3167,64.53,75,100,1.01,AU,1729130144
50,stanley,54.868,-1.6985,56.28,97,75,5.75,GB,1729130145
51,klyuchi,52.2667,79.1667,31.82,64,8,0.72,RU,1729130146
52,praia da vitoria,38.7333,-27.0667,64.65,82,20,4.92,PT,1729130147
53,bermeo,43.4209,-2.7215,61.59,89,100,9.86,ES,1729130148
54,badger,64.8,-147.5333,30.45,72,75,13.8,US,1729129968
55,timimoun,29.2639,0.231,75.58,27,0,5.75,DZ,1729130151
56,beichengqu,40.4394,113.1536,54.45,74,100,4.27,CN,1729130152
57,dunedin,-45.8742,170.5036,54.37,69,99,8.75,NZ,1729130153
58,akureyri,65.6835,-18.0878,30.13,93,20,4.61,IS,1729130154
59,sao luis,-2.5297,-44.3028,79.0,83,0,9.22,BR,1729130137
60,hawaiian paradise park,19.5933,-154.9731,80.73,71,20,10.36,US,1729130156
61,otjiwarongo,-20.4637,16.6477,68.52,19,99,9.91,NA,1729130157
62,santiago de cao,-7.9589,-79.2392,62.73,88,75,10.36,PE,1729130158
63,orsa,54.5153,30.4053,35.24,86,22,6.04,BY,1729130159
64,pimentel,-6.8367,-79.9342,62.89,88,75,21.85,PE,1729130160
65,talnakh,69.4865,88.3972,5.47,92,100,12.71,RU,1729130162
66,invercargill,-46.4,168.35,61.02,62,100,8.01,NZ,1729130163
67,isafjordur,66.0755,-23.124,29.98,81,97,8.63,IS,1729130164
68,jinchang,38.4953,102.1739,56.8,57,0,5.88,CN,1729130165
69,nguigmi,14.2495,13.1092,83.03,35,7,6.35,NE,1729130166
70,kerikeri,-35.2268,173.9474,63.91,77,100,8.99,NZ,1729130167
71,kodiak,57.79,-152.4072,51.31,43,0,11.5,US,1729130168
72,tura,25.5198,90.2201,74.91,78,95,2.01,IN,1729130169
73,la ronge,55.1001,-105.2842,48.45,81,100,14.97,CA,1729130170
74,puerto natales,-51.7236,-72.4875,43.41,95,100,2.44,CL,1729130172
75,tidjikja,18.5564,-11.4271,85.17,41,99,7.49,MR,1729130173
76,ta`u,-14.2336,-169.5144,80.15,65,26,11.72,AS,1729130174
77,tiksi,71.6872,128.8694,10.15,86,98,5.26,RU,1729130175
78,edinburgh of the seven seas,-37.0676,-12.3116,54.99,64,39,3.69,SH,1729130176
79,bairnsdale,-37.8333,147.6167,74.05,62,30,5.99,AU,1729130177
80,burang,30.25,81.1667,33.03,65,1,3.49,CN,1729130178
81,fraserburgh,57.6874,-2.0184,54.48,99,100,12.55,GB,1729130180
82,rabo de peixe,37.8,-25.5833,63.99,99,40,8.05,PT,1729130181
83,petrovsk-zabaykal'skiy,51.273,108.843,32.86,62,100,12.77,RU,1729130182
84,waitangi,-43.9535,-176.5597,51.82,79,69,8.99,NZ,1729130183
85,newman,37.3138,-121.0208,71.04,61,1,1.01,US,1729130184
86,thanh hoa,19.8,105.7667,81.16,80,15,4.9,VN,1729130185
87,alotau,-10.3069,150.4462,84.09,74,100,5.37,PG,1729130186
88,nuuk,64.1835,-51.7216,27.21,80,0,5.75,GL,1729130188
89,camalu,30.85,-116.0667,63.48,81,18,4.16,MX,1729130190
90,valle de la pascua,9.2155,-66.0073,75.22,90,99,3.49,VE,1729130192
91,port douglas,-16.4833,145.4667,80.22,74,3,12.15,AU,1729130193
92,porto novo,6.4965,2.6036,80.42,93,100,2.84,BJ,1729130194
93,nova vicosa,-17.8919,-39.3719,75.29,88,100,11.63,BR,1729130195
94,sao jose da coroa grande,-8.8978,-35.1478,75.85,82,85,12.93,BR,1729130196
95,cabo san lucas,22.8909,-109.9124,75.25,74,4,14.32,MX,1729130123
96,kyaikkami,16.08,97.5675,83.01,78,99,3.74,MM,1729130199
97,papatowai,-46.5619,169.4708,57.09,52,95,9.33,NZ,1729130201
98,yuzhno-kurilsk,44.0306,145.8556,57.4,67,46,8.57,RU,1729130203
99,metro,-5.1131,105.3067,85.82,47,94,11.74,ID,1729130204
100,port lincoln,-34.7333,135.8667,66.51,76,98,14.88,AU,1729130205
101,alice springs,-23.7,133.8833,96.35,26,4,23.02,AU,1729130206
102,haiku-pauwela,20.9219,-156.3051,82.42,62,20,28.77,US,1729130207
103,ponta delgada,37.7333,-25.6667,65.19,77,40,8.05,PT,1729130208
104,wailua homesteads,22.0669,-159.378,83.19,77,0,16.11,US,1729130209
105,tuburan,6.6439,122.2736,82.35,73,97,2.44,PH,1729130210
106,yantarnyy,54.8717,19.9381,46.09,68,95,17.16,RU,1729130211
107,demba,-5.51,22.2667,67.84,97,100,1.21,CD,1729130212
108,phan rang-thap cham,11.5667,108.9833,75.76,95,100,2.64,VN,1729130213
109,ponneri,13.3167,80.2,80.04,84,100,4.23,IN,1729130214
110,valparaiso,-33.0393,-71.6273,51.44,93,0,3.44,CL,1729130216
111,punta arenas,-53.15,-70.9167,50.11,76,100,8.05,CL,1729130217
112,hithadhoo,-0.6,73.0833,83.8,72,100,18.32,MV,1729130218
113,sinop,41.7711,34.8709,46.58,90,88,6.42,TR,1729130219
114,nurota,40.5614,65.6886,42.17,47,7,8.05,UZ,1729130220
115,zapolyarnyy,69.4154,30.8136,33.55,91,99,9.95,RU,1729130221
116,prado,-17.3411,-39.2208,73.74,93,100,12.95,BR,1729130222
117,ribeira grande,38.5167,-28.7,62.78,80,17,8.01,PT,1729130223
118,brush,40.2589,-103.6238,65.43,34,0,10.36,US,1729130225
119,howrah,22.5892,88.3103,80.6,94,75,3.44,IN,1729130226
120,lakshmeshwar,15.1333,75.4667,71.62,92,96,6.53,IN,1729130227
121,sierra grande,-41.606,-65.3557,64.65,78,100,16.53,AR,1729130229
122,roma,43.2128,-75.4557,38.66,94,0,0.0,US,1729130230
123,mossel bay,-34.1831,22.146,58.93,62,85,10.09,ZA,1729130231
124,jinghong,21.991,100.7341,73.83,86,26,1.7,CN,1729129945
125,namibe,-15.1961,12.1522,67.12,83,97,8.03,AO,1729130233
126,puerto ayora,-0.7393,-90.3518,67.55,100,76,7.0,EC,1729130234
127,papao,-17.75,-149.55,82.08,69,14,2.89,PF,1729130235
128,whitehorse,60.7161,-135.0538,39.97,65,75,2.3,CA,1729130214
129,touros,-5.1989,-35.4608,76.71,79,98,12.46,BR,1729130239
130,imperatriz,-5.5264,-47.4917,79.39,70,63,3.18,BR,1729129993
131,arraial do cabo,-22.9661,-42.0278,72.16,89,100,12.8,BR,1729130241
132,st. john's,47.5649,-52.7093,45.16,91,75,13.8,CA,1729129978
133,tolanaro,-25.0319,46.9987,66.27,63,75,13.8,MG,1729130243
134,birine,35.635,3.225,68.7,67,79,1.48,DZ,1729130244
135,qusmuryn,52.4503,64.6311,32.81,59,0,5.53,KZ,1729130245
136,crucecita,-28.95,-58.9833,67.15,65,1,8.9,AR,1729130247
